#Budget      #Canali
4.999778	2
2.404943	2
3.98765		4
3.925588	2
2.962661	5
3.970327	2
4.206875	2
0.8865		2
2.663237	3
3.979069	1
0.532336	3
3.567025	1
2.78424		3
7.980861	5
0.67		1
8.648827	1
3.396439	2
3.027637	1
3.473026	1
3.031375	1
4.114753	1
3.872981	3
3.21625		0
18.34125	2
5.72675		3
3.75979		3
4.944347	1
0.496607	3
3.741871	3
2.915886	1
3.533813	4
3.998793	2
3.34666		1
2.698062	3
0.549727	2
3.641781	6
5.748		4
3.22589		4
3.481875	1
0.873442	1
3.985417	1
3.99925		3
0.499603	1
2.978882	2
3.778125	3
7.148586	0
5.888491	2
3.999661	3
1.995113	1
2.578386	2
3.632486	2
3.78616		1
3.726942	1
3.988752	2
0.472468	3
2.99987		2
4.582346	4
5.99051		2
3.395178	1
4.193147	1
2.702397	3
3.996875	1
3.138432	2
2.495863	2
2.8925		1
4.25		2
3.9625		1
6.084949	1
3.419637	1
3.795877	2
10		0
5.817276	4
4.271481	3
5.038875	0
2.463975	1
4.87141		4
2.993403	1
0.499937	3
3.939516	3
4.430382	1
3.896827	1
2.886323	2
3.991096	2
3.752057	4
3.216555	1
3.024827	1
7.134928	2
3.270496	2
3.883412	0
3.978517	1
2.906801	2
0.999998	4
3.996477	1
4.236		1
0.410093	1
0.383593	1
0.99875		0
0.492937	4
