#Year	    #China %
1991	0.72463274171201
1992	0.72819791333036
1993	0.69522720538622
1994	0.62967939314253
1995	0.56845553521534
1996	0.56323569773593
1997	0.63872513894492
1998	0.64688855081682
1999	0.7496324713977
2000	0.89316289347023
2001	0.9403307429919
2002	1.05786008280491
2003	1.12036621784731
2004	1.21498273358108
2005	1.3079155920732
2006	1.36853697530793
2007	1.37298258272411
2008	1.44469394369069
2009	1.66210726169661
2010	1.70994157789534
2011	1.77539325163672
2012	1.90581601115374
2013	1.99020734188835
2014	2.02114195129447
2015	2.06707013179685

