#Year	    #Israel %
1991	2.2207487983949
1992	2.27800403744839
1993	2.37694653688846
1994	2.4284843476972
1995	2.43604664406113
1996	2.59168143240025
1997	2.80687892200581
1998	2.91848556634149
1999	3.32768056879801
2000	3.93369798848306
2001	4.18883834230933
2002	4.13708742732752
2003	3.90174083649648
2004	3.87665562042575
2005	4.05007615495527
2006	4.14519436084407
2007	4.42772125289351
2008	4.34578358120462
2009	4.13586716194346
2010	3.93944378874258
2011	4.01679939037128
2012	4.16088250658379
2013	4.14530732813252
2014	4.27009447644382
2015	4.25250221190385
