#Year	    #Korea %
1991	1.74082792330118
1992	1.82569563731349
1993	1.98436145987228
1994	2.15671504383777
1995	2.20098147214294
1996	2.26088704179733
1997	2.29770408851109
1998	2.16150971787503
1999	2.06661711212593
2000	2.1802324867448
2001	2.3410843825368
2002	2.27381500012665
2003	2.35150095207231
2004	2.53247774964211
2005	2.62616704789197
2006	2.83065823608728
2007	3.00034921953136
2008	3.12343118765348
2009	3.29324002494383
2010	3.46594143742077
2011	3.74361298390238
2012	4.02554328197758
2013	4.14852846635485
2014	4.28874332567582
2015	4.23198557768437
