#Year	    #OECD %
1981	1.83614393177102
1982	1.92219432405325
1983	1.97020212473572
1984	2.02818108354652
1985	2.12659804937243
1986	2.12871951244882
1987	2.13872773999856
1988	2.12376584459573
1989	2.12978518970439
1990	2.15753770100985
1991	2.08793592061409
1992	2.05011330026019
1993	2.00110155264742
1994	1.95775605481237
1995	1.9593629501197
1996	1.98519155020482
1997	2.0064620677719
1998	2.04022093862203
1999	2.08287422858584
2000	2.123985416284
2001	2.16125076879491
2002	2.13639656149198
2003	2.13877954583496
2004	2.11198298718922
2005	2.14108113653503
2006	2.17207439998713
2007	2.20687130588332
2008	2.27801838094669
2009	2.32573159420863
2010 	2.28750323373928
2011	2.3195773515202
2012	2.32284371986259
2013	2.34786765419621
2014	2.3766570839281
2015	2.38045198540656
