#Year	    #USA %
1981	2.26566844017794
1982	2.42648986299216
1983	2.48487242665683
1984	2.54596175755
1985	2.65069876325536
1986	2.62652899978323
1987	2.60083951885511
1988	2.55495178243124
1989	2.51384475933919
1990	2.54848109778114
1991	2.61397267139215
1992	2.53597114721318
1993	2.41537015313028
1994	2.3206761631769
1995	2.40182086492016
1996	2.44181779587939
1997	2.4709115216736
1998	2.49675217797713
1999	2.54174057493595
2000	2.62050356162247
2001	2.63832275887832
2002	2.54967563694294
2003	2.55286616678265
2004	2.48995350522626
2005	2.50599409213237
2006	2.55002061217585
2007	2.62692076433755
2008	2.76682903285113
2009	2.81858905969516
2010	2.74046247981539
2011	2.76964846977618
2012	2.70550359874237
2013	2.74158424306191
2014	2.75602346516317
2015	2.78817327920354
